position,source,story_key,time,userid
0,msnbc,4,1432016052,81887
1,foxnews,5,1432016052,81887
2,cnn,9,1432016052,81887
0,foxnews,5,1432018483,60387
1,msnbc,8,1432018483,60387
2,cnn,2,1432018483,60387
0,foxnews,5,1432020133,60387
1,msnbc,8,1432020133,60387
2,cnn,2,1432020133,60387
0,foxnews,5,1432022539,60387
1,msnbc,8,1432022539,60387
2,cnn,2,1432022539,60387
0,msnbc,4,1432034655,81887
1,foxnews,5,1432034655,81887
2,cnn,9,1432034655,81887
0,foxnews,6,1432037239,35380
1,cnn,5,1432037239,35380
2,msnbc,8,1432037239,35380
0,cnn,3,1432037330,67619
1,msnbc,0,1432037330,67619
2,foxnews,5,1432037330,67619
0,foxnews,4,1432037332,25038
1,cnn,5,1432037332,25038
2,msnbc,8,1432037332,25038
0,foxnews,1,1432037333,3699
1,msnbc,2,1432037333,3699
2,cnn,9,1432037333,3699
0,cnn,5,1432037335,3106
1,foxnews,3,1432037335,3106
2,msnbc,1,1432037335,3106
0,cnn,5,1432037336,20003
1,foxnews,4,1432037336,20003
2,msnbc,7,1432037336,20003
0,cnn,5,1432037343,46513
1,msnbc,7,1432037343,46513
2,foxnews,2,1432037343,46513
0,cnn,9,1432037352,82254
1,foxnews,3,1432037352,82254
2,msnbc,0,1432037352,82254
0,cnn,5,1432037353,60680
1,foxnews,7,1432037353,60680
2,msnbc,2,1432037353,60680
0,foxnews,7,1432037355,70998
1,cnn,4,1432037355,70998
2,msnbc,2,1432037355,70998
0,msnbc,7,1432037360,86558
1,foxnews,5,1432037360,86558
2,cnn,9,1432037360,86558
0,cnn,2,1432037367,63684
1,msnbc,4,1432037367,63684
2,foxnews,8,1432037367,63684
0,cnn,6,1432037367,27562
1,foxnews,0,1432037367,27562
2,msnbc,7,1432037367,27562
0,foxnews,5,1432037367,40855
1,msnbc,2,1432037367,40855
2,cnn,1,1432037367,40855
0,msnbc,5,1432037367,3225
1,foxnews,3,1432037367,3225
2,cnn,9,1432037367,3225
0,msnbc,9,1432037367,38219
1,foxnews,3,1432037367,38219
2,cnn,4,1432037367,38219
0,foxnews,3,1432037369,49916
1,msnbc,6,1432037369,49916
2,cnn,2,1432037369,49916
0,cnn,4,1432037373,62918
1,foxnews,1,1432037373,62918
2,msnbc,0,1432037373,62918
0,foxnews,7,1432037377,39907
1,cnn,8,1432037377,39907
2,msnbc,1,1432037377,39907
0,foxnews,7,1432037381,70998
1,cnn,4,1432037381,70998
2,msnbc,2,1432037381,70998
0,foxnews,8,1432037390,6158
1,msnbc,4,1432037390,6158
2,cnn,6,1432037390,6158
0,foxnews,2,1432037395,12118
1,cnn,9,1432037395,12118
2,msnbc,3,1432037395,12118
0,msnbc,0,1432037401,31611
1,cnn,1,1432037401,31611
2,foxnews,8,1432037401,31611
0,cnn,9,1432037411,7735
1,foxnews,3,1432037411,7735
2,msnbc,7,1432037411,7735
0,foxnews,5,1432037429,84261
1,cnn,0,1432037429,84261
2,msnbc,8,1432037429,84261
0,cnn,0,1432037494,15313
1,msnbc,6,1432037494,15313
2,foxnews,5,1432037494,15313
0,cnn,3,1432037728,60496
1,msnbc,2,1432037728,60496
2,foxnews,5,1432037728,60496
0,msnbc,5,1432038789,99862
1,cnn,6,1432038789,99862
2,foxnews,8,1432038789,99862
0,msnbc,7,1432039844,99052
1,cnn,3,1432039844,99052
2,foxnews,2,1432039844,99052
0,foxnews,5,1432039955,40855
1,msnbc,2,1432039955,40855
2,cnn,1,1432039955,40855
