,response,reversed_scale,userid
0,,0,7a0f5e6d-e86b-4697-bf74-37021e9e5be0
1,1.0,0,7a0f5e6d-e86b-4697-bf74-37021e9e5be0
2,2.0,0,7a0f5e6d-e86b-4697-bf74-37021e9e5be0
3,2.0,0,7a0f5e6d-e86b-4697-bf74-37021e9e5be0
4,2.0,0,7a0f5e6d-e86b-4697-bf74-37021e9e5be0
5,,0,7a0f5e6d-e86b-4697-bf74-37021e9e5be0
6,,0,7a0f5e6d-e86b-4697-bf74-37021e9e5be0
7,1.0,0,7a0f5e6d-e86b-4697-bf74-37021e9e5be0
8,2.0,0,7a0f5e6d-e86b-4697-bf74-37021e9e5be0
9,1.0,1,69580951-44c7-4ce9-b1d1-e22342ecd1b3
10,2.0,1,e4456ae6-724e-4c62-9ba5-6d031468704b
11,3.0,1,cf544a69-58fe-4146-9acb-01ec4a70554b
12,1.0,0,19cc9c96-e720-4306-8848-c717d70872ea
13,2.0,0,b99741aa-a352-476e-8f3a-c37725d887a5
14,2.0,0,95424108-6f64-445c-80c8-cdd36f010dcb
15,2.0,0,ebace447-d077-440c-a295-af7ab285229c
16,2.0,0,a6ddc2b9-5236-4ace-a431-788659e0a06a
17,3.0,0,c5bdaa79-9a63-492d-bc95-131e76371d0f
18,3.0,0,fb53f7a2-283b-43ca-91f2-c42b3cbb4065
19,3.0,1,deaac2c2-0c1e-4943-9756-d3b4e27f3673
20,4.0,1,2089741d-deb1-4466-858a-eea861789685
21,2.0,1,e8dda646-6be8-4284-92a6-4c2db8de03e8
22,2.0,0,fe4b41cd-a528-4540-ac88-3b6891a6b855
23,2.0,1,767cc683-0597-4e47-924d-86efb75b5c79
24,3.0,0,46d92960-d17c-4af8-83ae-389cd8e4cc34
25,3.0,1,a98dfe52-a21a-46d6-8451-f6a7a7dba9b5
26,3.0,1,7d2f16da-7f83-4673-a372-62dd61eada7d
27,2.0,0,a87a9d41-c884-4e20-af08-0dbeceec7dc2
28,3.0,1,b3188ee4-981a-4b25-a075-688357b892cd
29,3.0,0,066c7bae-cff5-4880-ba1a-558144238471
30,2.0,0,832129d5-2c61-43e3-933b-1944fa95e2e0
31,4.0,1,68043d24-1ba6-4df0-91eb-db6f9bae65a2
32,3.0,0,3e1133a1-b5f1-4d0d-ac51-312d58a10d7d
33,3.0,1,7d40c229-8575-4a5a-a174-28cba8e0d38a
34,3.0,1,e3ab9a45-add8-49a7-918c-f353a60d2b6c
35,4.0,1,65b095a7-698f-4053-b68e-9036769e58c5
36,2.0,1,9bd076aa-5741-41e9-84f9-a0b3bf7870fe
37,3.0,0,800e131f-c142-41a6-ad16-87f8db953117
38,3.0,0,52e880ca-945e-470f-aff7-a443ca0a2857
39,2.0,1,2d846069-2c8e-4b4a-a3ff-9fb7bdd48a25
40,1.0,1,4188d5d0-5149-4bd2-8daf-4fb396bdcfd1
